Category,original_HC_label,original_HC_definition,current_termName,review_decision,notes,term_localName,label,rdfs_comment [DEFINITION],dcterms_description [COMMENTS],examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
Methodology,taxonomic list of reported absences,List of taxa reported absence(s) at whatever taxonomic level reported,absentTaxa,HC term,Suggested new name: notRecordedTaxa,absentTaxa,Absent Taxa,A list (concatenated and separated) of taxa reported absent during the Event.,Absences could be reported at any taxonomic level. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,"`Parabuteo unicinctus | Geranoaetus melanoleucus`, `Cetoniinae | Aclopinae | Cyclocephala modesta`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,were specimen vouchers taken during survey?,Did the authors collect specimen vouchers? (yes/no),hasVouchers,HC term,Check GGBN and materialSample task group.,hasVouchers,Has Vouchers,A statement about whether specimen voucher(s) were collected during Event.,"If the Event is a compilation that contains at least one specimen voucher collected, the value should be 'true'.","`true`, `false`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,where were vouchers deposited?,"If collected, the name of the repository where vouchers were deposited",voucherLocations,HC term,Check GGBN and materialSample task group.,voucherInstitutions,Voucher Institutions,A list (concatenated and separated) of the name(s) or acronym(s) of the institution(s) where voucher(s) collected during the Event were deposited.,Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,"`FMNH`, `AMNH | MVZ`, `Nairobi National Museum`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,were samples taken from organisms during survey?,Did the author collect samples from organisms during the survey?,hasSamples,HC term,Proposed term name change. Check GGBN and materialSample task group.,hasMaterialSamples,Has Material Samples,A statement about whether MaterialSample(s) were collected during the Event.,"If the Event is a compilation that contains at least one MaterialSample, the value should be 'true'.","`true`, `false`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,what kind of samples were taken from organisms?,"Sample types include blood, tissue, fecal, etc.",sampleTypes,HC term,Proposed term name change. Check GGBN and materialSample task group.,materialSampleTypes,Material Sample Types,A list (concatenated and separated) of MaterialSample type(s) collected during the Event.,Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ).,"`whole organism`, `skeleton`, `tissue | blood | fecal | stomach content`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,were measurements of organisms taken during survey?,"This explicitly refers to physical measurements e.g. length, mass, etc. (yes/no)",hasTraits,deprecate,,,,,,"true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,recording or measurement agent type,"The agent taking the recording. This can be ""human"" or ""machine"" (e.g., camera traps)",,deprecate,"https://github.com/tdwg/hc/issues/13
Final decision to deprecate since multiple other grups are working on this definition",,,,,,,,,,
"Completeness & Effort
",inferred compilation effort,"Measured as ""low, medium and high"" and discussed in more detail in paper text.",compilationEffortLevel,deprecate,"See sections in HC paper:
 - Reporting on methodology and effort
 - Determining overall compilation and survey effort.",,,,,,,,,,
"Completeness & Effort
",was information about effort provided?,"Measured as ""no/partial/complete"".",isEffortReported,HC term,,isSamplingEffortReported,Is Sampling Effort Reported,A statement about whether sampling effort associated with the Event is reported.,"If the Event is a compilation that contains at least one sampling effort reported, the value should be 'true'. Typically values of effort would be captured under the terms hc:samplingEffortValue and hc:samplingEffortUnit.","`true`, `false`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
"Completeness & Effort
","if partial, for which part did authors provide info?",For cases where effort was made clear for only some parts of the surveying effort,,deprecate,See 3 new terms,,,,,,,,,,
"Completeness & Effort
",effort amount upper bound,Maximum amount of effort based on author reporting or data-entry person,samplingEffort,deprecate,"https://github.com/tdwg/hc/issues/11
See 3 new terms",,Sampling Effort,The amount of effort expended during an Event.,,"""40 trap-nights"", ""10 observer-hours; 10 km by foot; 30 km by car""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,simple
"Completeness & Effort
",effort upper bound unit,"The units of efforts (bucket-night, net-hours, person-hours, sample-days, trap-nights, or other)",,deprecate,See 3 new terms,,,,,,,,,,
"Completeness & Effort
",effort amount lower bound,Minimum anount of effort based on author reporting or data-entry person,,deprecate,See 3 new terms,,,,,,,,,,
"Completeness & Effort
",effort lower bound unit,"The units of efforts (bucket-night, net-hours, person-hours, sample-days, trap-nights, or other)",,deprecate,See 3 new terms,,,,,,,,,,
"Completeness & Effort
",more granular breakdown of effort reported?,"Choose ""yes"" if effort was broken down by day/night, individual site, or other criteria, otherwise ""no""",,deprecate,See 3 new terms,,,,,,,,,,
"Completeness & Effort
",granular effort breakdown description,"A verbal description of how effort was reported in more detail, e.g. by individual sites or sampling time blocks",,deprecate,See 3 new terms,,,,,,,,,,
"Completeness & Effort
",effort calculated by author or by data entry person?,Was the final assessment of effort reported directly by author or an assessment by data entry person?,effortCalculatedBy,deprecate,"https://github.com/tdwg/hc/issues/12
See 3 new terms",,,,,,,,,,
"Completeness & Effort
",description of effort calculation,"If calculated, what data and what method were used to determine assessment of effort?",effortCalculationProtocol,deprecate,See 3 new terms,,Effort Calculation Protocol,"A description of or reference to (publication, URI) the method or rationale used to determine the sampling effort.",The sampling effort may be originally reported or inferred.,"summed from reporting of hours', 'summed time trawled'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
"Completeness & Effort
",,,,HC term,New term,samplingEffortProtocol,Sampling Effort Protocol,A description of or reference to (publication or URL) the method(s) used to determine the sampling effort.,This description should be associated with reporting of hc:samplingEffortValue and hc:samplingEffortUnit. This is a specialisation of hc:protocolDescritption focused on the effort as distinct from the survey method itself. The effort relates to the intensity of sampling and therefore can assist in interpreting measures of completeness.,"`40 box traps deployed at even spacings along 4 parallel 100m transects placed 50m apart and visited at 6 hourly intervals over a 48 hour period`, `2 people occupying a bird hide for a period of 8 hours and undertaking a 30 minute count of species within the 150 degree field of view every 2 hours`, `A single baited camera trap station with motion sensor trigger, deployed for a period of 10 days and configured for detecting large fauna moving through a known traffic way`",,,,,
"Completeness & Effort
",,,,HC term,New term,Sampling Effort Value,samplingEffortValue,The numeric value of sampling effort expended during the Event in the unit reported in hc:samplingEffortUnit.,"This term is meant to capture the total sampling effort value, to express details use hc:samplingEffortProtocol. For compilations it is recommend not to infer effort.","`1900`, `40`, `5.5`",,,,,
"Completeness & Effort
",,,,HC term,New term,samplingEffortUnit,Sampling Effort Unit,The unit used to report hc:samplingEffortValue.,Recommended best practice is to use a controlled vocabulary. hc:samplingEffortUnit should always be used in conjunction with hc:samplingEffortValue.,"`trap hours`, `person hours`, `trap days`",,,,,
"Completeness & Effort
",quality assurance procedure,A list of any data quality procedures that were reported by the inventory authors.,,EML,EML route would be: eml:dataset/methods/qualityControl. See https://eml.ecoinformatics.org/schema/eml-dataset_xsd.html. See https://github.com/tdwg/hc/issues/14,,,,,,,,,,
"Completeness & Effort
",was taxonomic completeness reported?,"Choices for this field: ""No, not reported"", ""Yes, reported as complete"", ""Yes, reported as incomplete"".",isTaxonCompletenessReported,HC term,Proposed term name change.,taxonCompletenessReported,Taxon Completeness Reported,"Statement about whether, given the hc:targetTaxonomicScope, the Event yielded a complete list of the expected taxa.",Recommended best practice is to use a controlled vocabulary. For compilations it is recommended not to infer completeness.,"`notReported`, `reportedComplete`, `reportedIncomplete`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
"Completeness & Effort
","if reported incomplete, was how incompleteness assessed?","If author reported their assessment of incompleteness, capture author reported measurement or inferred assessment of incompleteness.",taxonCompletenessMethod,HC term,Proposed term name change.,taxonCompletenessProtocols,Taxon Completeness Protocols,"A description of or reference to (publication, URL) the method(s) used to determined hc:taxonCompletenessReported.",This term allows users to determine how comprehensively an area has been sampled. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,"`Census | Based on sampling effort`,  `Based on species accumulation curves`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
"Completeness & Effort
",how was completeness inferred?,"A description of the rationale for the inferred completeness assessment often based on how well sampling was done across the geospatial scope, and the survey and compilation effort.",inferredTaxonCompletenessMethod,deprecate,,,,,,,,,,,
"Completeness & Effort
","inferred or reported taxonomic completeness , lower bound","Inferred lower bound completeness is captured in quartiles (0, 25, 50, 75, 100).",minimumTaxonCompleteness,deprecate,,,,,,,,,,,
"Completeness & Effort
","inferred or reported taxonomic completeness, upper bound","Inferred upper bound completeness is captured in quartlies (0, 25, 50, 75, 100).",maximumTaxonCompleteness,deprecate,,,,,,,,,,,
