original_HC_label,original_HC_definition,current_termName,review_decision,notes,term_localName,label,rdfs_comment  [DEFINITION],dcterms_description [COMMENTS],examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
were measurements of organisms taken during survey?,"This explicitly refers to physical measurements e.g. length, mass, etc. (yes/no)",hasTraits,HC term,,hasTraits,Has Traits,A statement about whether trait data of the organisms associated with the sampling event(s) are recorded.,," 'true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
recording or measurement agent type ,"The agent taking the recording.  This can be ""human"" or ""machine"" (e.g., camera traps)",,Needs group review,https://github.com/tdwg/hc/issues/13,,,,,,,,,,
inferred compilation effort,"Measured as ""low, medium and high"" and discussed in more detail in paper text.",compilationEffortLevel,deprecate,"See sections in HC paper:
- Reporting on methodology and effort
- Determining overall compilation and survey effort.",,,,,,,,,,
was information about effort provided? ,"Measured as ""no/partial/complete"".",isEffortReported,HC term,,isEffortReported,Is Effort Reported,A statement about whether effort associated with the sampling event(s) is reported.,," 'true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
"if partial, for which part did authors provide info?",For cases where effort was made clear for only some parts of the surveying effort,,deprecate,,,,,,,,,,,
effort amount upper bound,Maximum amount of effort based on author reporting or data-entry person,samplingEffort,direct mapping to DwC,https://github.com/tdwg/hc/issues/11,samplingEffort,Sampling Effort,The amount of effort expended during an Event.,,"""40 trap-nights"", ""10 observer-hours; 10 km by foot; 30 km by car""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,simple
effort upper bound unit,"The units of efforts (bucket-night, net-hours, person-hours, sample-days, trap-nights, or other)",,deprecate/indirect mapping,Included in samplingEffort,,,,,,,,,,
effort amount lower bound,Minimum anount of effort based on author reporting or data-entry person,,deprecate/indirect mapping,Included in samplingEffort,,,,,,,,,,
effort lower bound unit,"The units of efforts (bucket-night, net-hours, person-hours, sample-days, trap-nights, or other)",,deprecate/indirect mapping,Included in samplingEffort,,,,,,,,,,
more granular breakdown of effort reported?   ,"Choose ""yes"" if effort was broken down by day/night, individual site, or other criteria, otherwise ""no""",,deprecate,,,,,,,,,,,
granular effort breakdown description,"A verbal description of how effort was reported in more detail, e.g. by individual sites or sampling time blocks",,deprecate,,,,,,,,,,,
effort calculated by author or by data entry person?,Was the final assessment of effort reported directly by author or an assessment by data entry person?,effortCalculatedBy,Needs group review,https://github.com/tdwg/hc/issues/12,,,,,,,,,,
description of effort calculation,"If calculated, what data and what method were used to determine assessment of effort?",effortCalculationProtocol,HC term,,effortCalculationProtocol,Effort Calculation Protocol,"A description of or reference to (publication, URI) the method or rationale used to determine the sampling effort.",The sampling effort may be originally reported or inferred.," 'summed from reporting of hours', 'summed time trawled'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
quality assurance procedure,A list of any data quality procedures that were reported by the inventory authors.,,EML,EML route would be: eml:dataset/methods/qualityControl. See https://eml.ecoinformatics.org/schema/eml-dataset_xsd.html. See https://github.com/tdwg/hc/issues/14,,,,,,,,,,
was taxonomic completeness reported?,"Choices for this field:  ""No, not reported"", ""Yes, reported as complete"", ""Yes, reported as incomplete"".  ",isTaxonCompletenessReported,HC term,Proposed term name change.,taxonCompletenessOriginallyReported,Taxon Completeness Originally Reported,Statement about whether the taxonomic completeness of the sampling event(s) contributing to the event referred to in the record was orginally reported.,"Recommended best practice is to use a controlled vocabulary and, if many values applicable, separate the values in a list with space vertical bar space ( | )."," 'notReported', 'reportedComplete', 'reportedIncomplete'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
"if reported incomplete, was how incompleteness assessed?","If author reported their assessment of incompleteness, capture author reported measurement or inferred assessment of incompleteness.",taxonCompletenessMethod,HC term,Proposed term name change.,originalTaxonCompletenessMethod,Original Taxon Completeness Method,"A description of or reference to (publication, URI) the method or rationale originally used to assess reported taxonomic completeness.","If the method was not originally reported but inferred afterwards use the term inferredTaxonCompletenessMethod. If many descriptions applicable, separate them with space vertical bar space ( | ).", 'Census | Based on sampling effort',http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
how was completeness inferred?,"A description of the rationale for the inferred completeness assessment often based on how well sampling was done across the geospatial scope, and the survey and compilation effort.",inferredTaxonCompletenessMethod,HC term,,inferredTaxonCompletenessMethod,Inferred Taxon Completeness Method,"A description of or reference to (publication, URI) the method or rationale used to infer taxonomic completeness, if not originally reported.","Often based on sampling thoroughness relative to the geospatial scope, and the survey and compilation effort. If the method was originally reported use the term taxonCompletenessMethod.
If many descriptions applicable, separate them with space vertical bar space ( | )."," 'Complete census likely to yield full assessment of species in area.', 'Assessed based on effort and geospatial scope.   Assumed that 26 hours was sufficient to cover 24km2 in some but not full detail.'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
"inferred or reported taxonomic completeness , lower bound","Inferred lower bound completeness is captured in quartiles (0, 25, 50,  75, 100).   ",minimumTaxonCompleteness,HC term,Proposed term name change.,minimumTaxonCompletenessInQuartiles ,Minimum Taxon Completeness In Quartiles ,Lower reported or inferred taxonomic completeness limit in quartiles.,"In the case of events that are a compilation of multiple events, such as a summary inventory, completeness should refer to the highest level event of the compilation. "," '0', '25', '50', '75', '100'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
"inferred or reported taxonomic completeness, upper bound","Inferred upper bound completeness is captured in quartlies (0, 25, 50, 75, 100).  ",maximumTaxonCompleteness,HC term,Proposed term name change.,maximumTaxonCompletenessInQuartiles ,Maximum Taxon Completeness In Quartiles ,Upper reported or inferred taxonomic completeness limit in quartiles.,"In the case of events that are a compilation of multiple events, such as a summary inventory, completeness should refer to the highest level event of the compilation. "," '0', '25', '50', '75', '100'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
