category,original_HC_label,original_HC_definition,current_termName,review_decision,notes,term_localName,label,rdfs_comment [DEFINITION],dcterms_description [COMMENTS],examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope,,,,,,,,,,,
Methodology,reported abundance cap,"What value, if any, was used a maximum cap on reported abundances? (yes/no)",isAbundanceCapReported,HC term,,isAbundanceCapReported,Is Abundance Cap Reported,A statement about whether by design a maximum number of individuals of a given species is reported.,"If the event referred to in the record is a summary inventory that contains at least one reported abundance capped, the value should be 'true'. Values of abundance cap should be captured under the term hc:abundanceCap.","true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Methodology,NA,NA,,HC term [new term suggested by the group],"Implementation advice: if there is a non-Null value provided here, code isAbundanceCapReported boolean field to automatic=YES",abundanceCap,Abundance Cap,Maximum number of individuals of a given species reported.,,"300','700'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Methodology,was vegetation cover reported?,"In vegetation surveys, was cover metric reported as output (yes/no)",isVegetationCoverReported,HC term,,isVegetationCoverReported,Is Vegetation Cover Reported,A statement about whether a vegetation cover metric is reported.,Typically values or description of vegetation cover would be captured under the term hc:verbatimSiteDescription.,"true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Methodology,were absences reported?,Did the authors report species expected in the survey that were not found? (yes/no),isAbsenceReported,HC term,,isAbsenceReported,Is Absence Reported,A statement about whether taxonomic absences are reported.,Absences could be reported at any taxonomic level.,"true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Methodology,taxonomic list of reported absences,List of taxa reported absence(s) at whatever taxonomic level reported,absentTaxa,HC term,Suggested new name: notRecordedTaxa,absentTaxa,Absent Taxa,A list (concatenated and separated) of taxa reported absent during the sampling event(s) referred to in the record.,Absences could be reported at any taxonomic level. Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,"Parabuteo unicinctus | Geranoaetus melanoleucus', 'Cetoniinae | Aclopinae | Cyclocephala modesta'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Methodology,were specimen vouchers taken during survey?,Did the authors collect specimen vouchers? (yes/no),hasVouchers,HC term,Check GGBN and materialSample task group.,hasVouchers,Has Vouchers,A statement about whether specimen vouchers were collected during the sampling event(s) referred to in the record.,,"true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Methodology,where were vouchers deposited?,"If collected, the name of the repository where vouchers were deposited",voucherLocations,HC term,Check GGBN and materialSample task group.,voucherInstitution,Voucher Institution,A list (concatenated and separated) of the name(s) (or acronyms) in use by the institution(s) where vouchers collected during the sampling event(s) were deposited.,Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,"FMNH', 'AMNH | MVZ', 'Nairobi National Museum'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Methodology,were samples taken from organisms during survey?,Did the author collect samples from organisms during the survey?,hasSamples,HC term,Proposed term name change. Check GGBN and materialSample task group.,hasMaterialSamples,Has Material Samples,A statement about whether material samples were taken during the sampling event(s) referred to in the record.,This term is based on the definition of the Darwin Core Class MaterialSample (http://rs.tdwg.org/dwc/terms/MaterialSample).,"true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Methodology,what kind of samples were taken from organisms?,"Sample types include blood, tissue, fecal, etc.",sampleTypes,HC term,Proposed term name change. Check GGBN and materialSample task group.,materialSampleTypes,Material Sample Types,A list (concatenated and separated) of material sample types collected during the sampling event(s) referred to in the record.,"This term is based on the definition of the Darwin Core Class MaterialSample (http://rs.tdwg.org/dwc/terms/MaterialSample). Recommended best practice is to use a controlled vocabulary and, if multiple values applicable, separate the values in a list with space vertical bar space ( | ).","whole organism', 'skeleton', 'tissue | blood | fecal | stomach content'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Methodology,were measurements of organisms taken during survey?,"This explicitly refers to physical measurements e.g. length, mass, etc. (yes/no)",hasTraits,deprecate,,,,,,"true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Methodology,recording or measurement agent type,"The agent taking the recording. This can be ""human"" or ""machine"" (e.g., camera traps)",,deprecate,"https://github.com/tdwg/hc/issues/13
Final decision to deprecate since multiple other grups are working on this definition",,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
",inferred compilation effort,"Measured as ""low, medium and high"" and discussed in more detail in paper text.",compilationEffortLevel,deprecate,"See sections in HC paper:
 - Reporting on methodology and effort
 - Determining overall compilation and survey effort.",,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
",was information about effort provided?,"Measured as ""no/partial/complete"".",isEffortReported,"Needs group review
HC term",NOT SURE WE AGREED ON THIS AS A GROUP,isEffortReported,Is Effort Reported,A statement about whether effort associated with the sampling event(s) is reported.,,"true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
"Completeness & Effort
","if partial, for which part did authors provide info?",For cases where effort was made clear for only some parts of the surveying effort,,deprecate,See 3 new terms,,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
",effort amount upper bound,Maximum amount of effort based on author reporting or data-entry person,samplingEffort,deprecate,"https://github.com/tdwg/hc/issues/11
See 3 new terms",samplingEffort,Sampling Effort,The amount of effort expended during an Event.,,"""40 trap-nights"", ""10 observer-hours; 10 km by foot; 30 km by car""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,simple,,,,,,,,,,,
"Completeness & Effort
",effort upper bound unit,"The units of efforts (bucket-night, net-hours, person-hours, sample-days, trap-nights, or other)",,deprecate,See 3 new terms,,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
",effort amount lower bound,Minimum anount of effort based on author reporting or data-entry person,,deprecate,See 3 new terms,,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
",effort lower bound unit,"The units of efforts (bucket-night, net-hours, person-hours, sample-days, trap-nights, or other)",,deprecate,See 3 new terms,,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
",more granular breakdown of effort reported?,"Choose ""yes"" if effort was broken down by day/night, individual site, or other criteria, otherwise ""no""",,deprecate,See 3 new terms,,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
",granular effort breakdown description,"A verbal description of how effort was reported in more detail, e.g. by individual sites or sampling time blocks",,deprecate,See 3 new terms,,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
",effort calculated by author or by data entry person?,Was the final assessment of effort reported directly by author or an assessment by data entry person?,effortCalculatedBy,deprecate,"https://github.com/tdwg/hc/issues/12
See 3 new terms",,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
",description of effort calculation,"If calculated, what data and what method were used to determine assessment of effort?",effortCalculationProtocol,deprecate,See 3 new terms,effortCalculationProtocol,Effort Calculation Protocol,"A description of or reference to (publication, URI) the method or rationale used to determine the sampling effort.",The sampling effort may be originally reported or inferred.,"summed from reporting of hours', 'summed time trawled'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
"Completeness & Effort
",NA,NA,,HC term,New term,samplingEffortProtocol,Sampling Effort Protocol,A description of or reference (publication or URI) to the method or rationale used to determine the sampling effort. This description should be associated with reporting of samplingEffortValue and samplingEffortUnit.,"This is a specialisation of hc::protocol. Description focused on the concept of effort as distinct from the survey method itself. The method of applying effort relates to the intensity of sampling of an area and therefore can assist in interpreting measures of completeness of survey coverage. 
A description of the number and arrangement of sensors deployed; whether sensors were mobile or stationary; how frequently observations, measurements or samples were taken; etc. Sensors may be mobile or stationary detection entities such as people, camera traps and other types of physical traps, nets, sonic spectrum detectors, drones and other aerial platforms, proximity detectors, etc.
","40 box traps deployed at even spacings along 4 parallel 100m transects placed 50m apart and visited at 6 hourly intervals over a 48 hour period',
'2 people occupying a bird hide for a period of 8 hours and undertaking a 30 minute count of species within the 150 degree field of view every 2 hours',
'A single baited camera trap station with motion sensor trigger, deployed for a period of 10 days and configured for detecting large fauna moving through a known traffic way'
",,,,,,,,,,,,,,,,
"Completeness & Effort
",NA,NA,,HC term,New term,Sampling Effort Value,samplingEffortValue,The numeric quantity of effort expended during a sampling/survey event in the associated effort unit.,"Expressed as an aggregate/composite number comprising the total number of deployed sensors, time deployed and/or area covered. 
For compilations it is recommend not to infer effort.
","1,920','16','10'",,,,,,,,,,,,,,,,
"Completeness & Effort
",NA,NA,,HC term,New term,samplingEffortUnit,Sampling Effort Unit,The unit of effort associated with the samplingEffortValue,"Best practice should use a controlled vocabulary of units.
effortUnit should always be used in conjunction with effortValue
","Trap hours',
'Person hours',
'Trap days'
",,,,,,,,,,,,,,,,
"Completeness & Effort
",quality assurance procedure,A list of any data quality procedures that were reported by the inventory authors.,,EML,EML route would be: eml:dataset/methods/qualityControl. See https://eml.ecoinformatics.org/schema/eml-dataset_xsd.html. See https://github.com/tdwg/hc/issues/14,,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
",was taxonomic completeness reported?,"Choices for this field: ""No, not reported"", ""Yes, reported as complete"", ""Yes, reported as incomplete"".",isTaxonCompletenessReported,HC term,Proposed term name change.,Taxon Completeness Reported,taxonCompletenessReported,"Statement about whether, given the survey scope, the sampling events yielded a complete list of the expected taxa","Given the scope of your survey, did you describe the species you were hoping for?
Recommended best practice is to use a controlled vocabulary and, if many values applicable, separate the values in a list with space vertical bar space ( | ). For compilations it is recommend not to infer completeness."," 'notReported', 'reportedComplete', 'reportedIncomplete'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
"Completeness & Effort
","if reported incomplete, was how incompleteness assessed?","If author reported their assessment of incompleteness, capture author reported measurement or inferred assessment of incompleteness.",taxonCompletenessMethod,HC term,Proposed term name change.,Taxon Completeness Protocol,taxonCompletenessProtocol,"A description of or reference to (publication, URI) the method or rationale originally used to assess reported taxonomic completeness.","This term allows data users to determine how comprehensively an area has been surveyed, which assists in interpreting species populations, area of occupancy, etc. 
Include the method undertaken to assess reported completeness or an explanation about the basis of the reported completeness. Information about taxonomic completeness is useful to understand if an area has been adequately surveyed and allows inference about species absences. If many descriptions applicable, separate them with space vertical bar space ( | ). ","Census | Based on sampling effort',  ‘Based on species accumulation curves’",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
"Completeness & Effort
",how was completeness inferred?,"A description of the rationale for the inferred completeness assessment often based on how well sampling was done across the geospatial scope, and the survey and compilation effort.",inferredTaxonCompletenessMethod,deprecate,,,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
","inferred or reported taxonomic completeness , lower bound","Inferred lower bound completeness is captured in quartiles (0, 25, 50, 75, 100).",minimumTaxonCompleteness,deprecate,,,,,,,,,,,,,,,,,,,,,,
"Completeness & Effort
","inferred or reported taxonomic completeness, upper bound","Inferred upper bound completeness is captured in quartlies (0, 25, 50, 75, 100).",maximumTaxonCompleteness,deprecate,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
